;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
0;Charlton;Man City;4;0;H;2;0;H;17;8;14;4;13;12;6;6;1;2;0;0
1;Chelsea;West Ham;4;2;H;1;0;H;17;12;10;5;19;14;7;7;1;2;0;0
2;Coventry;Middlesbrough;1;3;A;1;1;D;6;16;3;9;15;21;8;4;5;3;1;0
3;Derby;Southampton;2;2;D;1;2;A;6;13;4;6;11;13;5;8;1;1;0;0
4;Leeds;Everton;2;0;H;2;0;H;17;12;8;6;21;20;6;4;1;3;0;0
5;Leicester;Aston Villa;0;0;D;0;0;D;5;5;4;3;12;12;5;4;2;3;0;0
6;Liverpool;Bradford;1;0;H;0;0;D;16;3;10;2;8;8;6;1;1;1;0;0
7;Sunderland;Arsenal;1;0;H;0;0;D;8;14;2;7;10;21;2;9;3;1;0;1
8;Tottenham;Ipswich;3;1;H;2;1;H;20;15;6;5;14;13;3;4;0;0;0;0
9;Man United;Newcastle;2;0;H;1;0;H;19;9;9;6;7;13;7;1;0;1;0;0
10;Arsenal;Liverpool;2;0;H;1;0;H;17;7;12;4;25;20;10;11;2;4;1;2
11;Bradford;Chelsea;2;0;H;1;0;H;12;14;3;6;14;16;6;4;0;1;0;0
12;Ipswich;Man United;1;1;D;1;1;D;13;15;8;6;10;7;4;6;1;4;0;0
13;Middlesbrough;Tottenham;1;1;D;0;1;A;12;11;6;4;9;18;5;5;2;1;0;0
14;Everton;Charlton;3;0;H;0;0;D;13;8;8;4;17;15;3;5;2;1;0;1
15;Man City;Sunderland;4;2;H;2;0;H;15;9;10;4;24;14;7;3;3;3;0;0
16;Newcastle;Derby;3;2;H;1;1;D;9;10;4;5;23;11;9;6;0;3;1;0
17;Southampton;Coventry;1;2;A;0;1;A;12;7;4;5;18;20;6;5;5;3;0;0
18;West Ham;Leicester;0;1;A;0;0;D;17;4;12;2;16;14;11;5;3;3;1;0
19;Arsenal;Charlton;5;3;H;1;2;A;18;7;9;4;12;15;8;3;0;1;0;0
20;Bradford;Leicester;0;0;D;0;0;D;8;13;4;8;11;12;6;8;1;2;0;0